  Paikka;Aika;Arvo
973;1847.06.13 00:00;419.00
973;1847.06.14 00:00;417.00
973;1847.06.15 00:00;414.00
973;1847.06.16 00:00;412.00
973;1847.06.17 00:00;414.00
973;1847.06.18 00:00;414.00
973;1847.06.19 00:00;417.00
973;1847.06.20 00:00;417.00
973;1847.06.21 00:00;419.00
973;1847.06.22 00:00;419.00
973;1847.06.23 00:00;422.00
973;1847.06.24 00:00;422.00
973;1847.06.25 00:00;424.00
973;1847.06.26 00:00;424.00
973;1847.06.27 00:00;427.00
973;1847.06.28 00:00;427.00
973;1847.06.29 00:00;430.00
973;1847.06.30 00:00;430.00
973;1847.07.01 00:00;432.00
973;1847.07.02 00:00;432.00
973;1847.07.03 00:00;432.00
973;1847.07.04 00:00;432.00
973;1847.07.05 00:00;432.00
973;1847.07.06 00:00;432.00
973;1847.07.07 00:00;432.00
973;1847.07.08 00:00;432.00
973;1847.07.09 00:00;432.00
973;1847.07.10 00:00;435.00
973;1847.07.11 00:00;435.00
973;1847.07.12 00:00;438.00
973;1847.07.13 00:00;438.00
973;1847.07.14 00:00;438.00
973;1847.07.15 00:00;440.00
973;1847.07.16 00:00;440.00
973;1847.07.17 00:00;440.00
973;1847.07.18 00:00;440.00
973;1847.07.19 00:00;440.00
973;1847.07.20 00:00;440.00
973;1847.07.21 00:00;440.00
973;1847.07.22 00:00;440.00
973;1847.07.23 00:00;440.00
973;1847.07.24 00:00;440.00
973;1847.07.25 00:00;440.00
973;1847.07.26 00:00;440.00
973;1847.07.27 00:00;440.00
973;1847.07.28 00:00;438.00
973;1847.07.29 00:00;438.00
973;1847.07.30 00:00;438.00
973;1847.07.31 00:00;438.00
973;1847.08.01 00:00;438.00
973;1847.08.02 00:00;438.00
973;1847.08.03 00:00;435.00
973;1847.08.04 00:00;435.00
973;1847.08.05 00:00;432.00
973;1847.08.06 00:00;432.00
973;1847.08.07 00:00;430.00
973;1847.08.08 00:00;430.00
973;1847.08.09 00:00;427.00
973;1847.08.10 00:00;424.00
973;1847.08.11 00:00;424.00
973;1847.08.12 00:00;422.00
973;1847.08.13 00:00;419.00
